family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Outer-wall material,Any disconnection notice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.9123,0.984,70,3.0,2.0,0.8,negligible
categorical,Educational attendance,Province,demographic~context,substantive,chi2,cramers_v,0.0,,,0.9174,0.984,70,5.0,6.0,0.0143,negligible
categorical,Educational attendance,Professional wiring,demographic~energy,substantive,chi2,cramers_v,0.0,,,0.9219,0.984,70,5.0,3.0,0.0429,negligible
categorical,Outer-wall material,Province,dwelling~context,substantive,chi2,cramers_v,0.0,,,0.9355,0.993,70,3.0,6.0,0.0571,negligible
categorical,Relationship to head,Province,demographic~context,substantive,chi2,cramers_v,0.0,,,0.9427,0.9932,70,7.0,6.0,0.0143,negligible
categorical,Outer-wall material,Bill-payment practice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.9506,0.9932,70,3.0,4.0,0.4,negligible
categorical,House type,Province,dwelling~context,substantive,chi2,cramers_v,0.0,,,0.9526,0.9932,70,5.0,6.0,0.0143,negligible
categorical,Province,Energy-rating awareness,context~behaviour,substantive,chi2,cramers_v,0.0,,,0.9566,0.9932,70,6.0,2.0,0.2714,negligible
categorical,House type,Professional wiring,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.9791,1.0,70,5.0,3.0,0.0429,negligible
categorical,Professional wiring,Night-lighting restraint,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.9793,1.0,70,3.0,3.0,0.2571,negligible
